geometry,ident,type,name,latitude_d,longitude,elevation,continent,iso_countr,iso_region,municipali,scheduled,gps_code,iata_code,status,objectid
POINT (-2.904999971 58.95780182),EGPA,medium_airport,Kirkwall Airport,58.95780182,-2.904999971,50,Europe,GB,GB-SCT,Orkney Islands,yes,EGPA,KOI,,1034
POINT (-1.295560002 59.87889862),EGPB,medium_airport,Sumburgh Airport,59.87889862,-1.295560002,20,Europe,GB,GB-SCT,Lerwick,yes,EGPB,LSI,,1035
POINT (-3.093060017 58.45890045),EGPC,medium_airport,Wick Airport,58.45890045,-3.093060017,126,Europe,GB,GB-SCT,Wick,yes,EGPC,WIC,,1036
POINT (-2.197779894 57.20190048),EGPD,large_airport,Aberdeen Dyce Airport,57.20190048,-2.197779894,215,Europe,GB,GB-SCT,Aberdeen,yes,EGPD,ABZ,,1037
POINT (-4.047500134 57.54249954),EGPE,medium_airport,Inverness Airport,57.54249954,-4.047500134,31,Europe,GB,GB-SCT,Inverness,yes,EGPE,INV,,1038
POINT (-4.433060169 55.87189865),EGPF,large_airport,Glasgow International Airport,55.87189865,-4.433060169,26,Europe,GB,GB-SCT,Glasgow,yes,EGPF,GLA,Restrictions,1039
POINT (-3.372499943 55.95000076),EGPH,large_airport,Edinburgh Airport,55.95000076,-3.372499943,135,Europe,GB,GB-SCT,Edinburgh,yes,EGPH,EDI,,1040
POINT (-6.256669998 55.68190002),EGPI,medium_airport,Islay Airport,55.68190002,-6.256669998,56,Europe,GB,GB-SCT,Port Ellen,yes,EGPI,ILY,,1041
POINT (-4.586669922 55.50939941),EGPK,medium_airport,Glasgow Prestwick Airport,55.50939941,-4.586669922,65,Europe,GB,GB-SCT,Glasgow,yes,EGPK,PIK,,1042
POINT (-7.362780094 57.48109818),EGPL,medium_airport,Benbecula Airport,57.48109818,-7.362780094,19,Europe,GB,GB-SCT,Balivanich,yes,EGPL,BEB,,1043
POINT (-3.02583003 56.45249939),EGPN,medium_airport,Dundee Airport,56.45249939,-3.02583003,17,Europe,GB,GB-SCT,Dundee,yes,EGPN,DND,,1044
POINT (-6.331110001 58.21559906),EGPO,medium_airport,Stornoway Airport,58.21559906,-6.331110001,26,Europe,GB,GB-SCT,Stornoway,yes,EGPO,SYY,,1045
POINT (-7.443059921 57.02280045),EGPR,medium_airport,Barra Airport,57.02280045,-7.443059921,5,Europe,GB,GB-SCT,Eoligarry,yes,EGPR,BRR,,1046
POINT (-6.869170189 56.49919891),EGPU,medium_airport,Tiree Airport,56.49919891,-6.869170189,38,Europe,GB,GB-SCT,Balemartine,yes,EGPU,TRE,,1047
POINT (1.282780051 52.67580032),EGSH,large_airport,Norwich International Airport,52.67580032,1.282780051,117,Europe,GB,GB-ENG,Norwich,yes,EGSH,NWI,Restrictions,1048
POINT (0.234999999 51.88499832),EGSS,large_airport,London Stansted Airport,51.88499832,0.234999999,348,Europe,GB,GB-ENG,London,yes,EGSS,STN,,1049
POINT (-3.413889885 50.7344017),EGTE,large_airport,Exeter International Airport,50.7344017,-3.413889885,102,Europe,GB,GB-ENG,Exeter,yes,EGTE,EXT,Restrictions,1050
POINT (-1.58362 51.75),EGVN,large_airport,RAF Brize Norton,51.75,-1.58362,288,Europe,GB,GB-ENG,Brize Norton,yes,EGVN,BZZ,,1051
POINT (-2.772219896 59.19060135),EGED,medium_airport,Eday Airport,59.19060135,-2.772219896,10,Europe,GB,GB-SCT,Eday,yes,EGED,EOI,,1052
POINT (-0.75 60.4252),GB-OUK,medium_airport,Outer Skerries Airport,60.4252,-0.75,76,Europe,GB,GB-SCT,Grunay Island,yes,EGOU,OUK,,1053
POINT (32.9879 34.590401),LCRA,large_airport,RAF Akrotiri,34.590401,32.9879,76,Europe,GB,GB-U-A,Akrotiri,yes,LCRA,AKT,,1054
POINT (-2.214720011 49.70610046),EGJA,medium_airport,Alderney Airport,49.70610046,-2.214720011,290,Europe,GG,GG-U-A,Saint Anne,yes,EGJA,ACI,,1055
POINT (-2.601969957 49.43500137),EGJB,medium_airport,Guernsey Airport,49.43500137,-2.601969957,336,Europe,GG,GG-U-A,Saint Peter Port,yes,EGJB,GCI,,1056
POINT (-5.34965992 36.15119934),LXGB,medium_airport,Gibraltar Airport,36.15119934,-5.34965992,15,Europe,GI,GI-U-A,Gibraltar,yes,LXGB,GIB,,1057
POINT (25.95630074 40.85589981),LGAL,medium_airport,Dimokritos Airport,40.85589981,25.95630074,24,Europe,GR,GR-71,Alexandroupolis,yes,LGAL,AXD,,1058
POINT (23.94449997 37.93640137),LGAV,large_airport,Eleftherios Venizelos International Airport,37.93640137,23.94449997,308,Europe,GR,GR-A1,Athens,yes,LGAV,ATH,Restrictions,1059
